ym,crime,occ,vit
2025-05,"ORDEM_PUBLICA_E_OUTROS",4318,3614
2025-05,"PATRIMONIAIS_SEM_VIOLENCIA",12084,9322
2025-05,"VIOLENCIA_INTERPESSOAL_DOMESTICA",17633,18885
2025-05,"VULNERAVEIS_E_CUIDADO",1284,1015
2025-05,"FRAUDES_E_FE_PUBLICA",11487,11286
2025-05,"DROGAS_E_ORGANIZACAO_CRIMINOSA",2246,43
2025-05,"CRIMES_SEXUAIS_E_EXPLORACAO",728,730
2025-05,"ADMINISTRACAO_PUBLICA_E_JUSTICA",954,547
2025-05,"ARMAS_E_MUNICOES",523,118
2025-05,"TRANSITO",5634,3992
2025-05,"PATRIMONIAIS_COM_VIOLENCIA",2315,2460
2025-05,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",520,44
2025-05,"DISCRIMINACAO_E_DIREITOS_HUMANOS",384,400
2025-05,"LETAIS_E_VIOLENTOS",112,140
2025-06,"CRIMES_SEXUAIS_E_EXPLORACAO",648,664
2025-06,"VIOLENCIA_INTERPESSOAL_DOMESTICA",15057,16090
2025-06,"PATRIMONIAIS_SEM_VIOLENCIA",11634,8743
2025-06,"ORDEM_PUBLICA_E_OUTROS",3681,3052
2025-06,"VULNERAVEIS_E_CUIDADO",1108,869
2025-06,"DROGAS_E_ORGANIZACAO_CRIMINOSA",1906,33
2025-06,"FRAUDES_E_FE_PUBLICA",10350,10161
2025-06,"ADMINISTRACAO_PUBLICA_E_JUSTICA",864,497
2025-06,"AMBIENTAIS_E_BEM_ESTAR_ANIMAL",538,23
2025-06,"TRANSITO",5086,3723
2025-06,"PATRIMONIAIS_COM_VIOLENCIA",1997,2101
2025-06,"ARMAS_E_MUNICOES",449,101
2025-06,"DISCRIMINACAO_E_DIREITOS_HUMANOS",326,337
2025-06,"LETAIS_E_VIOLENTOS",113,138
2025-07,"PATRIMONIAIS_SEM_VIOLENCIA",12519,9585
